Index Name,Date,Open,High,Low,Close
NIFTY 50,2026-08-11,24575.1,24576.85,24429.25,24471.7
NIFTY 50,2026-08-10,24581.25,24620.95,24511.1,24583.8
NIFTY 50,2026-08-07,24538.9,24630.4,24522.75,24570.65
NIFTY 50,2026-08-06,24641,24677.05,24604.15,24636
NIFTY 50,2026-08-05,24669.2,24677.6,24497.95,24624.65
NIFTY 50,2026-08-04,24703.9,24703.9,24427.95,24614.9
NIFTY 50,2026-08-03,24572.7,24774.3,24515.15,24774.3
NIFTY 50,2026-07-31,24361.45,24429.4,24299.7,24383.6
NIFTY 50,2026-07-30,24249.55,24342.95,24187.1,24317.15
NIFTY 50,2026-07-29,24176.65,24283.55,24136.75,24250.2
NIFTY 50,2026-07-28,23971.25,24041.15,23954.6,23985.35
NIFTY 50,2026-07-27,23928.4,24011.6,23891.55,23995.95
NIFTY 50,2026-07-24,23666.35,23823.6,23606.3,23767.45
NIFTY 50,2026-07-23,23904.8,23990.75,23807.2,23869.6
NIFTY 50,2026-07-22,24150.45,24166.3,23961.4,23996.25
NIFTY 50,2026-07-21,24216.05,24262.2,24135.65,24187.7
NIFTY 50,2026-07-20,24190.05,24266.1,24135.85,24238.5
NIFTY 50,2026-07-17,24127.6,24367.3,24099.05,24334.3
NIFTY 50,2026-07-16,24142.1,24186.5,24050,24072.75
NIFTY 50,2026-07-15,24085.85,24220.35,24010.55,24078.5
NIFTY 50,2026-07-14,24068,24157.1,24023.7,24052.05
NIFTY 50,2026-07-13,24039.4,24259.8,24000.2,24211
NIFTY 50,2026-07-10,24124.7,24228.45,24120.35,24206.9
NIFTY 50,2026-07-09,23928.95,24134.7,23925.7,23962.8
NIFTY 50,2026-07-08,24259.55,24300,23805.2,23882.05
NIFTY 50,2026-07-07,24464.45,24530.9,24348.95,24398.7
NIFTY 50,2026-07-06,24306.85,24458.65,24287.1,24430.35
NIFTY 50,2026-07-03,24375.65,24378.15,24252.35,24270.85
NIFTY 50,2026-07-02,24062.2,24194.55,24058.8,24175.7
NIFTY 50,2026-07-01,23897.65,24049.9,23895.1,24005.85
NIFTY 50,2026-06-30,24032.05,24035.55,23829.2,23865.75
NIFTY 50,2026-06-29,24061.75,24120,23924.55,23946.25
NIFTY 50,2026-06-25,24125.85,24261.6,24039,24056
NIFTY 50,2026-06-24,23795.8,24090.05,23789.25,24021.65
NIFTY 50,2026-06-23,24071.3,24135.5,23784.95,23824.1
NIFTY 50,2026-06-22,24106.6,24168.05,24073.15,24102.9
NIFTY 50,2026-06-19,23991.2,24047.2,23901.9,24013.1
NIFTY 50,2026-06-18,24073.8,24189.25,24036.95,24168
NIFTY 50,2026-06-17,24044.5,24108.2,23969.7,24085.7
NIFTY 50,2026-06-16,23923.9,24002.6,23888.2,23989.15
NIFTY 50,2026-06-15,23984.85,24011.4,23817.8,23853.9
NIFTY 50,2026-06-12,23412.55,23645.35,23313.9,23622.9
NIFTY 50,2026-06-11,23104.4,23327.45,23072.05,23161.6
NIFTY 50,2026-06-10,23233.95,23425.35,23184.6,23214.95
NIFTY 50,2026-06-09,23259.05,23279.4,23104.45,23242.1
NIFTY 50,2026-06-08,23080.7,23267.3,23070.15,23123
NIFTY 50,2026-06-05,23478.95,23516.35,23282.65,23366.7
NIFTY 50,2026-06-04,23282.45,23465.3,23247.3,23416.55
NIFTY 50,2026-06-03,23415.95,23459.65,23151.5,23405.6
NIFTY 50,2026-06-02,23229.15,23556.95,23229.15,23483.55
NIFTY 50,2026-06-01,23654.5,23733.7,23357.95,23382.6
